8:02:46 AM  [main] 	Initializing Control Panel
8:02:46 AM  [main] 	Windows Version:  Home  64-bit
8:02:46 AM  [main] 	XAMPP Version: 7.4.27
8:02:46 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
8:02:46 AM  [main] 	You are not running with administrator rights! This will work for
8:02:46 AM  [main] 	most application stuff but whenever you do something with services
8:02:46 AM  [main] 	there will be a security dialogue or things will break! So think 
8:02:46 AM  [main] 	about running this application with administrator rights!
8:02:46 AM  [main] 	XAMPP Installation Directory: "c:\xampp\"
8:02:46 AM  [main] 	Checking for prerequisites
8:02:48 AM  [main] 	All prerequisites found
8:02:48 AM  [main] 	Initializing Modules
8:02:49 AM  [main] 	Starting Check-Timer
8:02:49 AM  [main] 	Control Panel Ready
8:02:51 AM  [Apache] 	Attempting to start Apache app...
8:02:52 AM  [Apache] 	Status change detected: running
8:02:52 AM  [mysql] 	Attempting to start MySQL app...
8:02:52 AM  [mysql] 	Status change detected: running
8:03:01 AM  [mysql] 	Attempting to stop MySQL app...
8:03:02 AM  [mysql] 	Status change detected: stopped
8:03:02 AM  [Apache] 	Attempting to stop Apache (PID: 9436)
8:03:08 AM  [Apache] 	Status change detected: stopped
8:04:15 AM  [Apache] 	Attempting to start Apache app...
8:04:16 AM  [Apache] 	Status change detected: running
8:04:17 AM  [mysql] 	Attempting to start MySQL app...
8:04:17 AM  [mysql] 	Status change detected: running
10:35:58 AM  [mysql] 	Attempting to stop MySQL app...
10:35:58 AM  [mysql] 	Status change detected: stopped
10:35:59 AM  [Apache] 	Attempting to stop Apache (PID: 5408)
10:35:59 AM  [Apache] 	Attempting to stop Apache (PID: 11284)
10:35:59 AM  [Apache] 	Status change detected: stopped
10:36:08 AM  [main] 	Deinitializing Modules
10:36:08 AM  [main] 	Deinitializing Control Panel

